Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Composite breakdown,Source details,COMMENT_OBS,Observation-level footnotes,Value
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,Quintile 5 (richest),Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,Quintile 5 (richest),Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.18807
2002,C,"Senegal General Census of Population and Housing 2002. IPUMS-Intertiol, tiol Agency of Statistics and Demography.; Data extracted on 01 April 2022.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.37388
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.30645
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.45863
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.59882
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.52547
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.59999
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.58625
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.57582
2002,C,"Senegal General Census of Population and Housing 2002. IPUMS-Intertiol, tiol Agency of Statistics and Demography.; Data extracted on 01 April 2022.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.21494
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.08614
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.21842
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.46468
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.56836
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.45419
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.44034
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.40096
2002,C,"Senegal General Census of Population and Housing 2002. IPUMS-Intertiol, tiol Agency of Statistics and Demography.; Data extracted on 01 April 2022.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.2632
